Name,URL,Address,Rating
Prithvi Cafe,https://www.google.com/maps/place/Prithvi+Cafe/data=!4m7!3m6!1s0x3be7c9ea57688fa3:0xefc0e4027133d0bc!8m2!3d19.1061292!4d72.8257094!16s%2Fg%2F11r902nyx!19sChIJo49oV-rJ5zsRvNAzcQLkwO8?authuser=0&hl=en&rclk=1,N/A,
Kala Ghoda Cafe,https://www.google.com/maps/place/Kala+Ghoda+Cafe/data=!4m7!3m6!1s0x3be7d1c30a9927b9:0x93f817f1a8e74b23!8m2!3d18.9284954!4d72.8322067!16s%2Fg%2F1td7516y!19sChIJuSeZCsPR5zsRI0vnqPEX-JM?authuser=0&hl=en&rclk=1,N/A,
Leaping Windows,https://www.google.com/maps/place/Leaping+Windows/data=!4m7!3m6!1s0x3be7b60fa977dd83:0x504f973f3b5d9668!8m2!3d19.1387357!4d72.8134334!16s%2Fg%2F119vr_mwt!19sChIJg913qQ-25zsRaJZdOz-XT1A?authuser=0&hl=en&rclk=1,"
10, Rope Walk Ln, Kala Ghoda, Fort, Mumbai, Maharashtra 400001",
Leopold Cafe,https://www.google.com/maps/place/Leopold+Cafe/data=!4m7!3m6!1s0x3be7d1c0fb6b23a9:0x1ccd311198f0c5a2!8m2!3d18.9227947!4d72.8316659!16s%2Fm%2F04zww53!19sChIJqSNr-8DR5zsRosXwmBExzRw?authuser=0&hl=en&rclk=1,"
Police Station, Shahid Bhagat Singh Road, Colaba Causeway, near Colaba, Mumbai, Maharashtra 400001",
"Grandmama's Cafe, Dadar East","https://www.google.com/maps/place/Grandmama%27s+Cafe,+Dadar+East/data=!4m7!3m6!1s0x3be7cede9b21ed89:0x558fbfc5f400023c!8m2!3d19.0168049!4d72.8461869!16s%2Fg%2F11bwkxh23k!19sChIJie0hm97O5zsRPAIA9MW_j1U?authuser=0&hl=en&rclk=1","
Corner View, 3, Dr.Ashok Chopra Marg, Opp. Bianca Towers, Amit Nagar, Versova, Andheri West, Mumbai, Maharashtra 400061",
Bombay To Barcelona Library Cafe,https://www.google.com/maps/place/Bombay+To+Barcelona+Library+Cafe/data=!4m7!3m6!1s0x3be7c81359615555:0x477fa11ce01f0713!8m2!3d19.1094204!4d72.8811811!16s%2Fg%2F11sb9j7n72!19sChIJVVVhWRPI5zsREwcf4Byhf0c?authuser=0&hl=en&rclk=1,"
Timmy Arcade, 778, Makwana Rd, Gamdevi, Marol, Andheri East, Mumbai, Maharashtra 400059",
Boojee Cafe,https://www.google.com/maps/place/Boojee+Cafe/data=!4m7!3m6!1s0x3be7c950382c58a5:0x31ebdefaca4c2e32!8m2!3d19.0605979!4d72.82439!16s%2Fg%2F11hzhfyyzf!19sChIJpVgsOFDJ5zsRMi5Myvre6zE?authuser=0&hl=en&rclk=1,"
Timmy Arcade, 778, Makwana Rd, Gamdevi, Marol, Andheri East, Mumbai, Maharashtra 400059",
Lotus Cafe,https://www.google.com/maps/place/Lotus+Cafe/data=!4m7!3m6!1s0x3be7c936896f55bd:0xf340c3b4e1d806f1!8m2!3d19.102037!4d72.825914!16s%2Fg%2F11jqbl9yl9!19sChIJvVVviTbJ5zsR8QbY4bTDQPM?authuser=0&hl=en&rclk=1,"
Timmy Arcade, 778, Makwana Rd, Gamdevi, Marol, Andheri East, Mumbai, Maharashtra 400059",
"Le Cafe | Best European Cafe in Chembur, Mumbai","https://www.google.com/maps/place/Le+Cafe+%7C+Best+European+Cafe+in+Chembur,+Mumbai/data=!4m7!3m6!1s0x3be7c77779897883:0x9abb47495273443!8m2!3d19.0615942!4d72.899741!16s%2Fg%2F11h40ygmdy!19sChIJg3iJeXfH5zsRQzQnlXS0qwk?authuser=0&hl=en&rclk=1","
Jewel of chembur, Rd No. 1, opp. Bmc OFFice, near Natraj Cinema, Chembur Gaothan, Chembur, Mumbai, Maharashtra 400071",
Grandmama's All Day Cafe,https://www.google.com/maps/place/Grandmama%27s+All+Day+Cafe/data=!4m7!3m6!1s0x3be7c9a2a9fa620b:0x6d4348a182244a0e!8m2!3d19.053038!4d72.897681!16s%2Fg%2F11cs6b7g73!19sChIJC2L6qaLJ5zsRDkokgqFIQ20?authuser=0&hl=en&rclk=1,"
Jewel of chembur, Rd No. 1, opp. Bmc OFFice, near Natraj Cinema, Chembur Gaothan, Chembur, Mumbai, Maharashtra 400071",
Garde Manger Cafe,https://www.google.com/maps/place/Garde+Manger+Cafe/data=!4m7!3m6!1s0x3be7c84ab064da91:0xf60db7187c30646d!8m2!3d19.1048075!4d72.8522921!16s%2Fg%2F11c1pls_ft!19sChIJkdpksErI5zsRbWQwfBi3DfY?authuser=0&hl=en&rclk=1,"
Jewel of chembur, Rd No. 1, opp. Bmc OFFice, near Natraj Cinema, Chembur Gaothan, Chembur, Mumbai, Maharashtra 400071",
August Cafe,https://www.google.com/maps/place/August+Cafe/data=!4m7!3m6!1s0x3be7b6181c9ac959:0xbd0f2243403e1bdc!8m2!3d19.137403!4d72.8270394!16s%2Fg%2F11f3r7msf1!19sChIJWcmaHBi25zsR3Bs-QEMiD70?authuser=0&hl=en&rclk=1,"
Jewel of chembur, Rd No. 1, opp. Bmc OFFice, near Natraj Cinema, Chembur Gaothan, Chembur, Mumbai, Maharashtra 400071",
JW Cafe,https://www.google.com/maps/place/JW+Cafe/data=!4m7!3m6!1s0x3be7c86a36d42b69:0x8187ba91406fad6c!8m2!3d19.103168!4d72.877702!16s%2Fg%2F11f46nv100!19sChIJaSvUNmrI5zsRbK1vQJG6h4E?authuser=0&hl=en&rclk=1,"
Chhatrapati Shivaji International Airport Area, Navpada, Vile Parle East, Vile Parle, Mumbai, Maharashtra 400099",
Aromas Café & Bistro,https://www.google.com/maps/place/Aromas+Caf%C3%A9+%26+Bistro/data=!4m7!3m6!1s0x3be7c7e607a36849:0x75bc319b8a39b154!8m2!3d19.1169277!4d72.9098968!16s%2Fg%2F1tzgh2t1!19sChIJSWijB-bH5zsRVLE5ipsxvHU?authuser=0&hl=en&rclk=1,"
Chhatrapati Shivaji International Airport Area, Navpada, Vile Parle East, Vile Parle, Mumbai, Maharashtra 400099",
