Name,URL
The NorthCap University,https://www.google.com/maps/place/The+NorthCap+University/data=!4m7!3m6!1s0x390d199c98e90ff1:0x8b2aa76c53fb738e!8m2!3d28.5036218!4d77.049855!16s%2Fm%2F0glnr8d!19sChIJ8Q_pmJwZDTkRjnP7U2ynKos?authuser=0&hl=en&rclk=1
"Amity University Gurugram, Haryana","https://www.google.com/maps/place/Amity+University+Gurugram,+Haryana/data=!4m7!3m6!1s0x390d39544502d985:0xfeb54e790052ee13!8m2!3d28.315291!4d76.9142539!16s%2Fg%2F11bwcptxmp!19sChIJhdkCRVQ5DTkRE-5SAHlOtf4?authuser=0&hl=en&rclk=1"
Dronacharya Government College,https://www.google.com/maps/place/Dronacharya+Government+College/data=!4m7!3m6!1s0x390d199b47aa6e31:0xf590944d3158b7de!8m2!3d28.4686904!4d77.0249493!16s%2Fm%2F0cr2k6z!19sChIJMW6qR5sZDTkR3rdYMU2UkPU?authuser=0&hl=en&rclk=1
Gurugram University,https://www.google.com/maps/place/Gurugram+University/data=!4m7!3m6!1s0x390d227849889109:0x36f22da384db52d5!8m2!3d28.4236917!4d77.0656784!16s%2Fg%2F11gmzlkss4!19sChIJCZGISXgiDTkR1VLbhKMt8jY?authuser=0&hl=en&rclk=1
Sushant University,https://www.google.com/maps/place/Sushant+University/data=!4m7!3m6!1s0x390d1f5632b0e589:0x468c9e8a5594c584!8m2!3d28.429753!4d77.111674!16s%2Fm%2F03d8798!19sChIJieWwMlYfDTkRhMWUVYqejEY?authuser=0&hl=en&rclk=1
"Government College for Girls, sector 14 Gurgaon","https://www.google.com/maps/place/Government+College+for+Girls,+sector+14+Gurgaon/data=!4m7!3m6!1s0x390d184d16793985:0xe08127feac050d53!8m2!3d28.467805!4d77.0444213!16s%2Fg%2F1th0l8d8!19sChIJhTl5Fk0YDTkRUw0FrP4ngeA?authuser=0&hl=en&rclk=1"
Manav Rachna International Institute Of Research And Studies,https://www.google.com/maps/place/Manav+Rachna+International+Institute+Of+Research+And+Studies/data=!4m7!3m6!1s0x390ce0ab6fec0aab:0x87c9e10e1ae0b0fc!8m2!3d28.4507673!4d77.2830499!16s%2Fm%2F0glp0dd!19sChIJqwrsb6vgDDkR_LDgGg7hyYc?authuser=0&hl=en&rclk=1
"Great Lakes Institute of Management, Gurgaon Campus, Delhi NCR","https://www.google.com/maps/place/Great+Lakes+Institute+of+Management,+Gurgaon+Campus,+Delhi+NCR/data=!4m7!3m6!1s0x390d38e65748619b:0x937a7cfb71d7e342!8m2!3d28.2843215!4d76.8724057!16s%2Fm%2F0bxzhxp!19sChIJm2FIV-Y4DTkRQuPXcft8epM?authuser=0&hl=en&rclk=1"
Maharshi Dayanand University,https://www.google.com/maps/place/Maharshi+Dayanand+University/data=!4m7!3m6!1s0x390d84dd1290113f:0x93e332b1a4af99f!8m2!3d28.8768269!4d76.621108!16s%2Fm%2F03c1m_5!19sChIJPxGQEt2EDTkRn_lKGiszPgk?authuser=0&hl=en&rclk=1
Dronacharya College of Engineering,https://www.google.com/maps/place/Dronacharya+College+of+Engineering/data=!4m7!3m6!1s0x390d6ad5abdad98b:0xeb13a7d0eb14cc49!8m2!3d28.4285741!4d76.8692421!16s%2Fg%2F11c74ck1mz!19sChIJi9naq9VqDTkRScwU69CnE-s?authuser=0&hl=en&rclk=1
Government College Bahadurgarh (Haryana),https://www.google.com/maps/place/Government+College+Bahadurgarh+%28Haryana%29/data=!4m7!3m6!1s0x390d0eb02d28b225:0x264626abe4f46235!8m2!3d28.6787036!4d76.9302965!16s%2Fg%2F11bws97176!19sChIJJbIoLbAODTkRNWL05KsmRiY?authuser=0&hl=en&rclk=1
IBMR Business School,https://www.google.com/maps/place/IBMR+Business+School/data=!4m7!3m6!1s0x390d1805328a8df1:0x6d5b3e1ce8e706d3!8m2!3d28.4309504!4d77.0189442!16s%2Fg%2F11x9j4nd7!19sChIJ8Y2KMgUYDTkR0wbn6Bw-W20?authuser=0&hl=en&rclk=1
"Deenbandhu Chhotu Ram University Of Science And Technology, Murthal (Haryana)","https://www.google.com/maps/place/Deenbandhu+Chhotu+Ram+University+Of+Science+And+Technology,+Murthal+%28Haryana%29/data=!4m7!3m6!1s0x390db10377463789:0xf697cc2d804b8b8e!8m2!3d29.0272123!4d77.0621078!16s%2Fm%2F027zsxh!19sChIJiTdGdwOxDTkRjotLgC3Ml_Y?authuser=0&hl=en&rclk=1"
Rawal Institutions,https://www.google.com/maps/place/Rawal+Institutions/data=!4m7!3m6!1s0x390cd8f6eaaaaaa9:0x73a00d06a3a86f21!8m2!3d28.3161754!4d77.2161198!16s%2Fg%2F11bt_7xxp5!19sChIJqaqq6vbYDDkRIW-oowYNoHM?authuser=0&hl=en&rclk=1
"Jagannath University, Haryana","https://www.google.com/maps/place/Jagannath+University,+Haryana/data=!4m7!3m6!1s0x390d73cd1c955beb:0xe5c2a2efe05ef90d!8m2!3d28.6318745!4d76.758136!16s%2Fm%2F0zdt1kt!19sChIJ61uVHM1zDTkRDfle4O-iwuU?authuser=0&hl=en&rclk=1"
World College Of Technology & Management,https://www.google.com/maps/place/World+College+Of+Technology+%26+Management/data=!4m7!3m6!1s0x390d6bacc6d9394d:0x674ba4e4f25e289c!8m2!3d28.4436382!4d76.7722635!16s%2Fm%2F0m0jpc9!19sChIJTTnZxqxrDTkRnChe8uSkS2c?authuser=0&hl=en&rclk=1
"Maharshi Dayanand University Centre For Professional And Allied Studies, Gurugram (MDU-CPAS)","https://www.google.com/maps/place/Maharshi+Dayanand+University+Centre+For+Professional+And+Allied+Studies,+Gurugram+%28MDU-CPAS%29/data=!4m7!3m6!1s0x390d18f5095f2e7d:0x5824ce257c0d54bf!8m2!3d28.4500837!4d77.0582522!16s%2Fg%2F11b64ddw8z!19sChIJfS5fCfUYDTkRv1QNfCXOJFg?authuser=0&hl=en&rclk=1"
Shri Vishwakarma Skill University Haryana,https://www.google.com/maps/place/Shri+Vishwakarma+Skill+University+Haryana/data=!4m7!3m6!1s0x390cdbf014c2c837:0x4ab1e23901c30ebb!8m2!3d28.449118!4d77.0756005!16s%2Fg%2F11c7t46l8x!19sChIJN8jCFPDbDDkRuw7DATnisUo?authuser=0&hl=en&rclk=1
Haryana-IGNOU Community College,https://www.google.com/maps/place/Haryana-IGNOU+Community+College/data=!4m7!3m6!1s0x390d3c1a38b6fafd:0x5e6046df1dabb637!8m2!3d28.3360761!4d76.9277545!16s%2Fg%2F1tfq7m71!19sChIJ_fq2OBo8DTkRN7arHd9GYF4?authuser=0&hl=en&rclk=1
Government girls college sec 52,https://www.google.com/maps/place/Government+girls+college+sec+52/data=!4m7!3m6!1s0x390d19658d1c1465:0x151727883b7575e3!8m2!3d28.4448375!4d77.0760156!16s%2Fg%2F11rrzx60l8!19sChIJZRQcjWUZDTkR43V1O4gnFxU?authuser=0&hl=en&rclk=1
Ahir College Rewari,https://www.google.com/maps/place/Ahir+College+Rewari/data=!4m7!3m6!1s0x390d507761376f05:0x42527d7f9be4620f!8m2!3d28.1933334!4d76.6069567!16s%2Fm%2F011q5phj!19sChIJBW83YXdQDTkRD2Lkm399UkI?authuser=0&hl=en&rclk=1
Vaish College of Engineering,https://www.google.com/maps/place/Vaish+College+of+Engineering/data=!4m7!3m6!1s0x390d850555555555:0xc88cfe5dc9080473!8m2!3d28.8855616!4d76.5765291!16s%2Fm%2F0cr54bz!19sChIJVVVVVQWFDTkRcwQIyV3-jMg?authuser=0&hl=en&rclk=1
BM College of Technology & Management Head Office,https://www.google.com/maps/place/BM+College+of+Technology+%26+Management+Head+Office/data=!4m7!3m6!1s0x390d1887eaaaaaab:0x4b0f0920bd72877d!8m2!3d28.438739!4d77.0558867!16s%2Fg%2F1th5y5c3!19sChIJq6qq6ocYDTkRfYdyvSAJD0s?authuser=0&hl=en&rclk=1
"Jagannath University, Haryana","https://www.google.com/maps/place/Jagannath+University,+Haryana/data=!4m7!3m6!1s0x390d73cd1c955beb:0xe5c2a2efe05ef90d!8m2!3d28.6318745!4d76.758136!16s%2Fm%2F0zdt1kt!19sChIJ61uVHM1zDTkRDfle4O-iwuU?authuser=0&hl=en&rclk=1"
Government girls college sec 52,https://www.google.com/maps/place/Government+girls+college+sec+52/data=!4m7!3m6!1s0x390d19658d1c1465:0x151727883b7575e3!8m2!3d28.4448375!4d77.0760156!16s%2Fg%2F11rrzx60l8!19sChIJZRQcjWUZDTkR43V1O4gnFxU?authuser=0&hl=en&rclk=1
"Govt. College Sultanpur, Farrukhnagar, Gurugram","https://www.google.com/maps/place/Govt.+College+Sultanpur,+Farrukhnagar,+Gurugram/data=!4m7!3m6!1s0x390d158c578fef95:0x4ffd14c54f3960ec!8m2!3d28.4664631!4d76.8642465!16s%2Fg%2F11q37j8dj3!19sChIJle-PV4wVDTkR7GA5T8UU_U8?authuser=0&hl=en&rclk=1"
National Law College,https://www.google.com/maps/place/National+Law+College/data=!4m7!3m6!1s0x390d18f504274f93:0x90abb929a1faf808!8m2!3d28.4500368!4d77.058318!16s%2Fg%2F1tk89hyf!19sChIJk08nBPUYDTkRCPj6oSm5q5A?authuser=0&hl=en&rclk=1
Kalra college,https://www.google.com/maps/place/Kalra+college/data=!4m7!3m6!1s0x390d18338932a45d:0x9d1e9528abf6f80b!8m2!3d28.4724039!4d77.0285112!16s%2Fg%2F11g6wyjp54!19sChIJXaQyiTMYDTkRC_j2qyiVHp0?authuser=0&hl=en&rclk=1
Drona College Of Education,https://www.google.com/maps/place/Drona+College+Of+Education/data=!4m7!3m6!1s0x390d1786aadf8201:0x93bd6e886c3e3cc7!8m2!3d28.4603835!4d77.004445!16s%2Fg%2F11f0kxzf35!19sChIJAYLfqoYXDTkRxzw-bIhuvZM?authuser=0&hl=en&rclk=1
Deen Dayal Rustogi College Of Education,https://www.google.com/maps/place/Deen+Dayal+Rustogi+College+Of+Education/data=!4m7!3m6!1s0x390d182555555555:0x51ee9ae4d955425e!8m2!3d28.4552615!4d77.0218609!16s%2Fg%2F11b7_0fj3l!19sChIJVVVVVSUYDTkRXkJV2eSa7lE?authuser=0&hl=en&rclk=1
Haryana Institute of Public Administration,https://www.google.com/maps/place/Haryana+Institute+of+Public+Administration/data=!4m7!3m6!1s0x390d190e5140600f:0xa08d7cdb8a97a0b4!8m2!3d28.4859672!4d77.0654436!16s%2Fg%2F1tfzvwmm!19sChIJD2BAUQ4ZDTkRtKCXitt8jaA?authuser=0&hl=en&rclk=1
"Government Model Industrial Training Institute, Gurugram","https://www.google.com/maps/place/Government+Model+Industrial+Training+Institute,+Gurugram/data=!4m7!3m6!1s0x390d1837042762b5:0x234daa954134e6a8!8m2!3d28.4687214!4d77.0463017!16s%2Fg%2F1wnd_fzz!19sChIJtWInBDcYDTkRqOY0QZWqTSM?authuser=0&hl=en&rclk=1"
RR college Gurgaon,https://www.google.com/maps/place/RR+college+Gurgaon/data=!4m7!3m6!1s0x390d1b6cad6d0447:0x6e4c6bd6eb0f2b7b!8m2!3d28.5132113!4d77.0226968!16s%2Fg%2F11swf9kwwn!19sChIJRwRtrWwbDTkReysP69ZrTG4?authuser=0&hl=en&rclk=1
Cambridge collegeof education,https://www.google.com/maps/place/Cambridge+collegeof+education/data=!4m7!3m6!1s0x390d172715ddb661:0xc18e4bcd12ad3fd4!8m2!3d28.445332!4d76.9998643!16s%2Fg%2F11h6177j9t!19sChIJYbbdFScXDTkR1D-tEs1LjsE?authuser=0&hl=en&rclk=1
Central University of Haryana,https://www.google.com/maps/place/Central+University+of+Haryana/data=!4m7!3m6!1s0x39129577ce587a0b:0xbdc1de187d4dccf9!8m2!3d28.3512626!4d76.133663!16s%2Fm%2F09v27s6!19sChIJC3pYzneVEjkR-cxNfRjewb0?authuser=0&hl=en&rclk=1
Government College,https://www.google.com/maps/place/Government+College/data=!4m7!3m6!1s0x3912a28e2d173baf:0x724818a67b7b6ff2!8m2!3d28.3311449!4d76.3018941!16s%2Fg%2F12hk3w7fs!19sChIJrzsXLY6iEjkR8m97e6YYSHI?authuser=0&hl=en&rclk=1
BMD B.Ed College | Top B.Ed College in Rewari Haryana,https://www.google.com/maps/place/BMD+B.Ed+College+%7C+Top+B.Ed+College+in+Rewari+Haryana/data=!4m7!3m6!1s0x390d5f6b43eb6c3d:0x13fcf9112f082de6!8m2!3d28.3035164!4d76.4779239!16s%2Fg%2F11fxzywzg3!19sChIJPWzrQ2tfDTkR5i0ILxH5_BM?authuser=0&hl=en&rclk=1
District Institute Of Education & Training,https://www.google.com/maps/place/District+Institute+Of+Education+%26+Training/data=!4m7!3m6!1s0x390d196ba67cf2c7:0xf76bc5f72d110827!8m2!3d28.4525652!4d77.0290025!16s%2Fg%2F11gr5zk0dw!19sChIJx_J8pmsZDTkRJwgRLffFa_c?authuser=0&hl=en&rclk=1
B.Ed Admission in Gurgaon,https://www.google.com/maps/place/B.Ed+Admission+in+Gurgaon/data=!4m7!3m6!1s0x390d19d7a8c27b65:0x914abbe8b434a5dd!8m2!3d28.4752606!4d77.0129207!16s%2Fg%2F119vnpng2!19sChIJZXvCqNcZDTkR3aU0tOi7SpE?authuser=0&hl=en&rclk=1
