Name,URL,Address,Rating
"Amity University Gurugram, Haryana","https://www.google.com/maps/place/Amity+University+Gurugram,+Haryana/data=!4m7!3m6!1s0x390d39544502d985:0xfeb54e790052ee13!8m2!3d28.315291!4d76.9142539!16s%2Fg%2F11bwcptxmp!19sChIJhdkCRVQ5DTkRE-5SAHlOtf4?authuser=0&hl=en&rclk=1",N/A,
The NorthCap University,https://www.google.com/maps/place/The+NorthCap+University/data=!4m7!3m6!1s0x390d199c98e90ff1:0x8b2aa76c53fb738e!8m2!3d28.5036218!4d77.049855!16s%2Fm%2F0glnr8d!19sChIJ8Q_pmJwZDTkRjnP7U2ynKos?authuser=0&hl=en&rclk=1,"
Huda, Sector 23A, Gurugram, Haryana 122017",
Dronacharya Government College,https://www.google.com/maps/place/Dronacharya+Government+College/data=!4m7!3m6!1s0x390d199b47aa6e31:0xf590944d3158b7de!8m2!3d28.4686904!4d77.0249493!16s%2Fm%2F0cr2k6z!19sChIJMW6qR5sZDTkR3rdYMU2UkPU?authuser=0&hl=en&rclk=1,"
New Railway Rd, Subhash Nagar, Sector 12, Gurugram, Haryana 122001",
Parmar College Of Higher Education,https://www.google.com/maps/place/Parmar+College+Of+Higher+Education/data=!4m7!3m6!1s0x390d1829ba5fa4f1:0xc6caa219ce851dd2!8m2!3d28.4564761!4d77.018085!16s%2Fg%2F1jkyh3sk3!19sChIJ8aRfuikYDTkR0h2FzhmiysY?authuser=0&hl=en&rclk=1,"
F248+JX6, 267/20,Opp.parshuram Bhawan, near Pataudi Chowk, Shakti Nagar Rd, Sector 11, Gurugram, Haryana 122001",
"Government College for Girls, sector 14 Gurgaon","https://www.google.com/maps/place/Government+College+for+Girls,+sector+14+Gurgaon/data=!4m7!3m6!1s0x390d184d16793985:0xe08127feac050d53!8m2!3d28.467805!4d77.0444213!16s%2Fg%2F1th0l8d8!19sChIJhTl5Fk0YDTkRUw0FrP4ngeA?authuser=0&hl=en&rclk=1","
Mehrauli-Gurgaon Rd, Sector 15 Part 2, Sector 14, Gurugram, Haryana 122001",
Gurugram University,https://www.google.com/maps/place/Gurugram+University/data=!4m7!3m6!1s0x390d227849889109:0x36f22da384db52d5!8m2!3d28.4236917!4d77.0656784!16s%2Fg%2F11gmzlkss4!19sChIJCZGISXgiDTkR1VLbhKMt8jY?authuser=0&hl=en&rclk=1,"
C3F8+F7F, Nirvana Rd, Mayfield Garden, Sector 51, Gurugram, Samaspur, Haryana 122018",
Maharshi Dayanand University,https://www.google.com/maps/place/Maharshi+Dayanand+University/data=!4m7!3m6!1s0x390d84dd1290113f:0x93e332b1a4af99f!8m2!3d28.8768269!4d76.621108!16s%2Fm%2F03c1m_5!19sChIJPxGQEt2EDTkRn_lKGiszPgk?authuser=0&hl=en&rclk=1,"
Delhi rd, near Delhi Bypass, Rohtak, Haryana 124001",
Govt. PG College,https://www.google.com/maps/place/Govt.+PG+College/data=!4m7!3m6!1s0x390d179b69f3b1f5:0xe92a485268ec483b!8m2!3d28.4578379!4d76.9972484!16s%2Fm%2F0cr2k6l!19sChIJ9bHzaZsXDTkRO0jsaFJIKuk?authuser=0&hl=en&rclk=1,"
FX5W+4VQ, Basai Rd, Bhawani Enclave, Sector 9, Gurugram, Haryana 122001",
Manav Rachna International Institute Of Research And Studies,https://www.google.com/maps/place/Manav+Rachna+International+Institute+Of+Research+And+Studies/data=!4m7!3m6!1s0x390ce0ab6fec0aab:0x87c9e10e1ae0b0fc!8m2!3d28.4507673!4d77.2830499!16s%2Fm%2F0glp0dd!19sChIJqwrsb6vgDDkR_LDgGg7hyYc?authuser=0&hl=en&rclk=1,"
Plot A, Manav Rachna Campus Rd, Gadakhor Basti Village, Sector 43, Faridabad, Haryana 121004",
"Great Lakes Institute of Management, Gurgaon Campus, Delhi NCR","https://www.google.com/maps/place/Great+Lakes+Institute+of+Management,+Gurgaon+Campus,+Delhi+NCR/data=!4m7!3m6!1s0x390d38e65748619b:0x937a7cfb71d7e342!8m2!3d28.2843215!4d76.8724057!16s%2Fm%2F0bxzhxp!19sChIJm2FIV-Y4DTkRQuPXcft8epM?authuser=0&hl=en&rclk=1","
Bilaspur-Tauru Road, Near Bilaspur, Chowk, NH-8, Gurugram, Haryana 122413",
