Name,URL
Fergusson College,https://www.google.com/maps/place/Fergusson+College/data=!4m7!3m6!1s0x3bc2bf80982203c7:0xba2ba195e24b828a!8m2!3d18.5228446!4d73.8389678!16zL20vMDR5Nnhr!19sChIJxwMimIC_wjsRioJL4pWhK7o?authuser=0&hl=en&rclk=1
COEP Technological University,https://www.google.com/maps/place/COEP+Technological+University/data=!4m7!3m6!1s0x3bc2c0883858b873:0x1d68fbf2cac75519!8m2!3d18.5303935!4d73.8563868!16zL20vMDZkZnRr!19sChIJc7hYOIjAwjsRGVXHyvL7aB0?authuser=0&hl=en&rclk=1
AISSMS College of Engineering,https://www.google.com/maps/place/AISSMS+College+of+Engineering/data=!4m7!3m6!1s0x3bc2c0f555bf965d:0x4dbf1000c873a42d!8m2!3d18.5311701!4d73.8656595!16zL20vMDZ5Y2Yz!19sChIJXZa_VfXAwjsRLaRzyAAQv00?authuser=0&hl=en&rclk=1
"Poona College of Arts, Science and Commerce","https://www.google.com/maps/place/Poona+College+of+Arts,+Science+and+Commerce/data=!4m7!3m6!1s0x3bc2c150f5de1f1b:0x896d346c7dc627a4!8m2!3d18.5061541!4d73.8747821!16s%2Fm%2F0cr425y!19sChIJGx_e9VDBwjsRpCfGfWw0bYk?authuser=0&hl=en&rclk=1"
FLAME University,https://www.google.com/maps/place/FLAME+University/data=!4m7!3m6!1s0x3bc2bc338f698dd1:0x26bb10488cf7fe3c!8m2!3d18.5233078!4d73.7317384!16s%2Fg%2F11bw7s1qz1!19sChIJ0Y1pjzO8wjsRPP73jEgQuyY?authuser=0&hl=en&rclk=1
Nowrosjee Wadia College,https://www.google.com/maps/place/Nowrosjee+Wadia+College/data=!4m7!3m6!1s0x3bc2c0f86684e599:0x178af5f825e644cc!8m2!3d18.5330164!4d73.8798336!16s%2Fm%2F0ch4m7y!19sChIJmeWEZvjAwjsRzETmJfj1ihc?authuser=0&hl=en&rclk=1
Dr. D. Y. Patil Institute of Technology,https://www.google.com/maps/place/Dr.+D.+Y.+Patil+Institute+of+Technology/data=!4m7!3m6!1s0x3bc2b860d63876d1:0x9bccd5081468bc36!8m2!3d18.6230833!4d73.8160199!16zL20vMDdxZjdx!19sChIJ0XY41mC4wjsRNrxoFAjVzJs?authuser=0&hl=en&rclk=1
"Modern College of Arts, Science and Commerce","https://www.google.com/maps/place/Modern+College+of+Arts,+Science+and+Commerce/data=!4m7!3m6!1s0x3bc2c07c1e611dcf:0x99c0bffa66bb0ac2!8m2!3d18.5262182!4d73.8453756!16s%2Fg%2F11fyzcn7m_!19sChIJzx1hHnzAwjsRwgq7Zvq_wJk?authuser=0&hl=en&rclk=1"
PCCOE - Pimpri Chinchwad College Of Engineering,https://www.google.com/maps/place/PCCOE+-+Pimpri+Chinchwad+College+Of+Engineering/data=!4m7!3m6!1s0x3bc2b9e76c8fa205:0x1b210131915734fd!8m2!3d18.6517288!4d73.7616398!16s%2Fm%2F05zr96v!19sChIJBaKPbOe5wjsR_TRXkTEBIRs?authuser=0&hl=en&rclk=1
MIT World Peace University (MIT-WPU),https://www.google.com/maps/place/MIT+World+Peace+University+%28MIT-WPU%29/data=!4m7!3m6!1s0x3bc2bfb9e53a05f9:0x2be5e8da02be693e!8m2!3d18.5177559!4d73.8151112!16s%2Fm%2F04d_4lg!19sChIJ-QU65bm_wjsRPmm-Atro5Ss?authuser=0&hl=en&rclk=1
Azam Campus,https://www.google.com/maps/place/Azam+Campus/data=!4m7!3m6!1s0x3bc2c040a0e98563:0x9dd3ef6ef8904dbd!8m2!3d18.5059184!4d73.8764073!16s%2Fg%2F1tdl4lcj!19sChIJY4XpoEDAwjsRvU2Q-G7v050?authuser=0&hl=en&rclk=1
Savitribai Phule Pune University,https://www.google.com/maps/place/Savitribai+Phule+Pune+University/data=!4m7!3m6!1s0x3bc2bf0eed1beca7:0xf07ab6b613c2af51!8m2!3d18.5529684!4d73.8265425!16zL20vMDNreWdo!19sChIJp-wb7Q6_wjsRUa_CE7a2evA?authuser=0&hl=en&rclk=1
Christ College,https://www.google.com/maps/place/Christ+College/data=!4m7!3m6!1s0x3bc2c1177902d15b:0x2d14447bb5958ba1!8m2!3d18.5556984!4d73.9134678!16s%2Fg%2F1tp0c3kd!19sChIJW9ECeRfBwjsRoYuVtXtEFC0?authuser=0&hl=en&rclk=1
Abasaheb Garware College,https://www.google.com/maps/place/Abasaheb+Garware+College/data=!4m7!3m6!1s0x3bc2bf8e7c1c683b:0xf8528dc3a5c23412!8m2!3d18.5117937!4d73.8386061!16s%2Fm%2F0cr422y!19sChIJO2gcfI6_wjsREjTCpcONUvg?authuser=0&hl=en&rclk=1
"KP Paramedical institute- Best Paramedical institute In Pune | DMLT College In Pune| Paramedical College in Hadapsar, Pune","https://www.google.com/maps/place/KP+Paramedical+institute-+Best+Paramedical+institute+In+Pune+%7C+DMLT+College+In+Pune%7C+Paramedical+College+in+Hadapsar,+Pune/data=!4m7!3m6!1s0x3bc2c202e5b56261:0xc6778792b3500425!8m2!3d18.5005022!4d73.938237!16s%2Fg%2F11cn5ld4lw!19sChIJYWK15QLCwjsRJQRQs5KHd8Y?authuser=0&hl=en&rclk=1"
Brihan Maharashtra College of Commerce (BMCC),https://www.google.com/maps/place/Brihan+Maharashtra+College+of+Commerce+%28BMCC%29/data=!4m7!3m6!1s0x3bc2bf7757e1f7f9:0xe7b83f347c9b2f7a!8m2!3d18.5214097!4d73.8351389!16s%2Fm%2F0cp0_2h!19sChIJ-ffhV3e_wjsRei-bfDQ_uOc?authuser=0&hl=en&rclk=1
"College of Agriculture, Pune","https://www.google.com/maps/place/College+of+Agriculture,+Pune/data=!4m7!3m6!1s0x3bc2c081855692b3:0xb468438664cba14!8m2!3d18.5365646!4d73.8441307!16s%2Fg%2F1tc_zyhm!19sChIJs5JWhYHAwjsRFLpMZjiERgs?authuser=0&hl=en&rclk=1"
"MIT Art, Design & Technology University","https://www.google.com/maps/place/MIT+Art,+Design+%26+Technology+University/data=!4m7!3m6!1s0x3bc2e805e62101f9:0x20beded1f9debf8d!8m2!3d18.4900649!4d74.0254569!16s%2Fm%2F0cm962d!19sChIJ-QEh5gXowjsRjb_e-dHeviA?authuser=0&hl=en&rclk=1"
P.E.S. Modern College of Engineering,https://www.google.com/maps/place/P.E.S.+Modern+College+of+Engineering/data=!4m7!3m6!1s0x3bc2c07e4111123b:0x3f92335c2e5c8400!8m2!3d18.5261982!4d73.8464997!16s%2Fm%2F0cr49yb!19sChIJOxIRQX7AwjsRAIRcLlwzkj8?authuser=0&hl=en&rclk=1
"Dr. D. Y. Patil Vidyapeeth, Pimpri, Pune","https://www.google.com/maps/place/Dr.+D.+Y.+Patil+Vidyapeeth,+Pimpri,+Pune/data=!4m7!3m6!1s0x3bc2b8612b48fd3f:0xf080ec8435d265c6!8m2!3d18.6245648!4d73.8222427!16s%2Fg%2F11b8896ynk!19sChIJP_1IK2G4wjsRxmXSNYTsgPA?authuser=0&hl=en&rclk=1"
