Name,URL
"Fortis Flt Lt Rajan Dhall Hospital, Vasant Kunj - Best Hospital in New Delhi","https://www.google.com/maps/place/Fortis+Flt+Lt+Rajan+Dhall+Hospital,+Vasant+Kunj+-+Best+Hospital+in+New+Delhi/data=!4m7!3m6!1s0x390d1d080c000001:0xdc68ebc7ff708935!8m2!3d28.5194391!4d77.1604048!16s%2Fg%2F1tdqy301!19sChIJAQAADAgdDTkRNYlw_8fraNw?authuser=0&hl=en&rclk=1"
Venkateshwar Hospital,https://www.google.com/maps/place/Venkateshwar+Hospital/data=!4m7!3m6!1s0x390d1ac3e8a4b27b:0x218f945a11993663!8m2!3d28.5885973!4d77.0380428!16s%2Fg%2F11b7y83nv6!19sChIJe7Kk6MMaDTkRYzaZEVqUjyE?authuser=0&hl=en&rclk=1
"Park Hospital, Palam Vihar","https://www.google.com/maps/place/Park+Hospital,+Palam+Vihar/data=!4m7!3m6!1s0x390d1a2133c96ead:0xcd02c759bafd53da!8m2!3d28.5184015!4d77.0389622!16s%2Fg%2F1v62g0xq!19sChIJrW7JMyEaDTkR2lP9ulnHAs0?authuser=0&hl=en&rclk=1"
Primus Super Speciality Hospital,https://www.google.com/maps/place/Primus+Super+Speciality+Hospital/data=!4m7!3m6!1s0x390d1d68ebafe4b1:0x15e3c02de46eb6b6!8m2!3d28.5929448!4d77.1812159!16s%2Fg%2F1tfzkqs4!19sChIJseSv62gdDTkRtrZu5C3A4xU?authuser=0&hl=en&rclk=1
Asian multispeciality hospital,https://www.google.com/maps/place/Asian+multispeciality+hospital/data=!4m7!3m6!1s0x390d1b4d8ad2f09d:0xb48b86d70f9b8d78!8m2!3d28.5322823!4d77.0891932!16s%2Fg%2F11qmr7ngsh!19sChIJnfDSik0bDTkReI2bD9eGi7Q?authuser=0&hl=en&rclk=1
Aakash Healthcare Super Speciality Hospital,https://www.google.com/maps/place/Aakash+Healthcare+Super+Speciality+Hospital/data=!4m7!3m6!1s0x390d053340000001:0x4611150c2d27d1fc!8m2!3d28.60522!4d77.0534511!16s%2Fg%2F11c1q9ndqm!19sChIJAQAAQDMFDTkR_NEnLQwVEUY?authuser=0&hl=en&rclk=1
Sukhmani Hospital | Best Pregnancy Hospital in South Delhi | Best Abortion Center in Delhi | MTP center,https://www.google.com/maps/place/Sukhmani+Hospital+%7C+Best+Pregnancy+Hospital+in+South+Delhi+%7C+Best+Abortion+Center+in+Delhi+%7C+MTP+center/data=!4m7!3m6!1s0x390ce2714b7f1253:0x8398ee9591423643!8m2!3d28.559809!4d77.2005106!16s%2Fg%2F1tj836_c!19sChIJUxJ_S3HiDDkRQzZCkZXumIM?authuser=0&hl=en&rclk=1
Park Hospital,https://www.google.com/maps/place/Park+Hospital/data=!4m7!3m6!1s0x390d0486068a92a3:0xb5d36c0ba16eb195!8m2!3d28.651782!4d77.093166!16s%2Fg%2F11b7m97022!19sChIJo5KKBoYEDTkRlbFuoQts07U?authuser=0&hl=en&rclk=1
Saroj Super Speciality Hospital,https://www.google.com/maps/place/Saroj+Super+Speciality+Hospital/data=!4m7!3m6!1s0x390d03df7b9d0c0b:0xd48bf519a4c75ed5!8m2!3d28.7059462!4d77.1289217!16s%2Fg%2F1thhhw_k!19sChIJCwyde98DDTkR1V7HpBn1i9Q?authuser=0&hl=en&rclk=1
"CK Birla Hospital, Delhi","https://www.google.com/maps/place/CK+Birla+Hospital,+Delhi/data=!4m7!3m6!1s0x390d03552412e88d:0x41cdf3e3f531217b!8m2!3d28.6675337!4d77.1318917!16s%2Fg%2F11rcdhndpn!19sChIJjegSJFUDDTkReyEx9ePzzUE?authuser=0&hl=en&rclk=1"
BLK-Max Super Speciality Hospital Delhi,https://www.google.com/maps/place/BLK-Max+Super+Speciality+Hospital+Delhi/data=!4m7!3m6!1s0x390d029633b6af21:0x9a67323b63bcc188!8m2!3d28.6435455!4d77.1795768!16s%2Fg%2F1tfzvwkd!19sChIJIa-2M5YCDTkRiMG8YzsyZ5o?authuser=0&hl=en&rclk=1
Singhal Hospital,https://www.google.com/maps/place/Singhal+Hospital/data=!4m7!3m6!1s0x390d1b425fed7b73:0x9add2c663892eba1!8m2!3d28.5882118!4d77.0888389!16s%2Fg%2F11b6zzj7gk!19sChIJc3vtX0IbDTkRoeuSOGYs3Zo?authuser=0&hl=en&rclk=1
"Max Super Speciality Hospital, Saket (Max Saket)","https://www.google.com/maps/place/Max+Super+Speciality+Hospital,+Saket+%28Max+Saket%29/data=!4m7!3m6!1s0x390ce1f427d4c5fb:0x582d47bbf4970bc1!8m2!3d28.527549!4d77.2119946!16s%2Fm%2F0nhgv9_!19sChIJ-8XUJ_ThDDkRwQuX9LtHLVg?authuser=0&hl=en&rclk=1"
Indraprastha Apollo Hospital,https://www.google.com/maps/place/Indraprastha+Apollo+Hospital/data=!4m7!3m6!1s0x390ce6ad13eaaa99:0x3bc07ad476bc6d77!8m2!3d28.5408008!4d77.2832273!16s%2Fg%2F1tnpjcxm!19sChIJmarqE63mDDkRd228dtR6wDs?authuser=0&hl=en&rclk=1
"Maharaja Agrasen Hospital, Dwarka","https://www.google.com/maps/place/Maharaja+Agrasen+Hospital,+Dwarka/data=!4m7!3m6!1s0x390d1bbe39286495:0xef4589916a04da15!8m2!3d28.593565!4d77.0782318!16s%2Fg%2F11jp1x7pp3!19sChIJlWQoOb4bDTkRFdoEapGJRe8?authuser=0&hl=en&rclk=1"
