Name,URL
Gujarat Gastro & Vascular Hospital,https://www.google.com/maps/place/Gujarat+Gastro+%26+Vascular+Hospital/data=!4m7!3m6!1s0x3be04d7ec3766423:0xbc6d7c836a74aa9e!8m2!3d21.1958412!4d72.7978745!16s%2Fg%2F11fhky71dx!19sChIJI2R2w35N4DsRnqp0aoN8bbw?authuser=0&hl=en&rclk=1
Shalby Multi-Specialty Hospitals,https://www.google.com/maps/place/Shalby+Multi-Specialty+Hospitals/data=!4m7!3m6!1s0x395e9b25101211f5:0x2f374a23db429344!8m2!3d23.0190291!4d72.5066568!16s%2Fg%2F1td6l1cb!19sChIJ9RESECWbXjkRRJNC2yNKNy8?authuser=0&hl=en&rclk=1
Gujarat Hospital,https://www.google.com/maps/place/Gujarat+Hospital/data=!4m7!3m6!1s0x395e879529d9b151:0x4892b3bce37207fa!8m2!3d23.0044391!4d72.638557!16s%2Fg%2F11nxc_rv2g!19sChIJUbHZKZWHXjkR-gdy47yzkkg?authuser=0&hl=en&rclk=1
GUJARAT HOSPITAL (Advanced ENT and Gynaec Hospital),https://www.google.com/maps/place/GUJARAT+HOSPITAL+%28Advanced+ENT+and+Gynaec+Hospital%29/data=!4m7!3m6!1s0x395e8723c7566a8d:0xa65ad3e127c04913!8m2!3d23.0615258!4d72.6437196!16s%2Fg%2F11g0sqsq82!19sChIJjWpWxyOHXjkRE0nAJ-HTWqY?authuser=0&hl=en&rclk=1
"Narayana Hospital, Ahmedabad","https://www.google.com/maps/place/Narayana+Hospital,+Ahmedabad/data=!4m7!3m6!1s0x395e86876b675049:0x333a7f0f520404a7!8m2!3d23.0226551!4d72.6236515!16s%2Fg%2F11c1v8z5vt!19sChIJSVBna4eGXjkRpwQEUg9_OjM?authuser=0&hl=en&rclk=1"
Zydus Multispeciality and Cancer Hospital,https://www.google.com/maps/place/Zydus+Multispeciality+and+Cancer+Hospital/data=!4m7!3m6!1s0x395fc7a11137aa49:0x5ee29dd08ceb62d8!8m2!3d22.2814436!4d73.1638679!16s%2Fg%2F11rpq73yrz!19sChIJSao3EaHHXzkR2GLrjNCd4l4?authuser=0&hl=en&rclk=1
BAPS Yogiji Maharaj Hospital,https://www.google.com/maps/place/BAPS+Yogiji+Maharaj+Hospital/data=!4m7!3m6!1s0x395e846b752bf3d9:0x62f0c185953205d2!8m2!3d23.0460119!4d72.5885025!16s%2Fg%2F1vgw_445!19sChIJ2fMrdWuEXjkR0gUylYXB8GI?authuser=0&hl=en&rclk=1
"HCG Hospitals, Ahmedabad","https://www.google.com/maps/place/HCG+Hospitals,+Ahmedabad/data=!4m7!3m6!1s0x395e84f773bc0859:0x227151ad64cb173a!8m2!3d23.0287828!4d72.56429!16s%2Fg%2F1td6l19l!19sChIJWQi8c_eEXjkROhfLZK1RcSI?authuser=0&hl=en&rclk=1"
Gujarat Superspeciality Hospital,https://www.google.com/maps/place/Gujarat+Superspeciality+Hospital/data=!4m7!3m6!1s0x395fc8a5599b023d:0xea25bf1ff850e17a!8m2!3d22.3073018!4d73.175949!16s%2Fg%2F11b6ggzzpy!19sChIJPQKbWaXIXzkReuFQ-B-_Jeo?authuser=0&hl=en&rclk=1
Radhe Multi-Speciality Hospital,https://www.google.com/maps/place/Radhe+Multi-Speciality+Hospital/data=!4m7!3m6!1s0x395c2b5758ecd003:0xbc5a2dc11dcd1433!8m2!3d23.1817147!4d72.6282639!16s%2Fg%2F11rsctsdsr!19sChIJA9DsWFcrXDkRMxTNHcEtWrw?authuser=0&hl=en&rclk=1
Shree Gujarat Hospital,https://www.google.com/maps/place/Shree+Gujarat+Hospital/data=!4m7!3m6!1s0x395e83d8042b8c8b:0xdc233496ac40e732!8m2!3d22.9272739!4d72.5404698!16s%2Fg%2F11j2c00xz4!19sChIJi4wrBNiDXjkRMudArJY0I9w?authuser=0&hl=en&rclk=1
Zydus Hospitals,https://www.google.com/maps/place/Zydus+Hospitals/data=!4m7!3m6!1s0x395e9b5e464673c1:0x4aa886904308b889!8m2!3d23.0585156!4d72.5175197!16s%2Fg%2F124yhkhzf!19sChIJwXNGRl6bXjkRibgIQ5CGqEo?authuser=0&hl=en&rclk=1
Marengo CIMS Hospital,https://www.google.com/maps/place/Marengo+CIMS+Hospital/data=!4m7!3m6!1s0x395e9cb250f37723:0x27de8effab4879ed!8m2!3d23.0702256!4d72.516908!16s%2Fg%2F11c3wwk_d7!19sChIJI3fzULKcXjkR7XlIq_-O3ic?authuser=0&hl=en&rclk=1
Royal Gujarat General Hospital,https://www.google.com/maps/place/Royal+Gujarat+General+Hospital/data=!4m7!3m6!1s0x395e81557531cea7:0xd4aff7ad5cd84fee!8m2!3d23.1078687!4d72.6591201!16s%2Fg%2F11h84kqp0x!19sChIJp84xdVWBXjkR7k_YXK33r9Q?authuser=0&hl=en&rclk=1
Ikram Hospital,https://www.google.com/maps/place/Ikram+Hospital/data=!4m7!3m6!1s0x391f04df171fe6e9:0x4679f6c3da7a78da!8m2!3d32.5956188!4d74.0792871!16s%2Fg%2F11b7vc7ldz!19sChIJ6eYfF98EHzkR2nh62sP2eUY?authuser=0&hl=en&rclk=1
SAL Hospital & Medical Institute,https://www.google.com/maps/place/SAL+Hospital+%26+Medical+Institute/data=!4m7!3m6!1s0x395e84ac4fa14425:0xd23e816209544b0b!8m2!3d23.0495241!4d72.5242733!16s%2Fg%2F11bzsf4cp0!19sChIJJUShT6yEXjkRC0tUCWKBPtI?authuser=0&hl=en&rclk=1
Divine Multispeciality Hospital,https://www.google.com/maps/place/Divine+Multispeciality+Hospital/data=!4m7!3m6!1s0x395c29d4a4e603fb:0xf2d3148017024304!8m2!3d23.1912624!4d72.6067305!16s%2Fg%2F11rqts68zl!19sChIJ-wPmpNQpXDkRBEMCF4AU0_I?authuser=0&hl=en&rclk=1
Syed Surgical Hospital,https://www.google.com/maps/place/Syed+Surgical+Hospital/data=!4m7!3m6!1s0x391f1ad619418c59:0x6cd259974530a25d!8m2!3d32.593811!4d74.0753374!16s%2Fg%2F11b_2csn2v!19sChIJWYxBGdYaHzkRXaIwRZdZ0mw?authuser=0&hl=en&rclk=1
Dr. Jivraj Mehta Hospital,https://www.google.com/maps/place/Dr.+Jivraj+Mehta+Hospital/data=!4m7!3m6!1s0x395e8523e21503ab:0x8125931d7376380c!8m2!3d23.0085767!4d72.5431572!16s%2Fg%2F11frq94q0m!19sChIJqwMV4iOFXjkRDDh2cx2TJYE?authuser=0&hl=en&rclk=1
Tulip Heart and Superspeciality Hospital - Cardiologist/ Neurologist/ Intensive Care- ICU,https://www.google.com/maps/place/Tulip+Heart+and+Superspeciality+Hospital+-+Cardiologist%2F+Neurologist%2F+Intensive+Care-+ICU/data=!4m7!3m6!1s0x395e4f79701bf995:0xdd3ef53ba9acd31a!8m2!3d22.5577534!4d72.9571585!16s%2Fg%2F11rsc0ll93!19sChIJlfkbcHlPXjkRGtOsqTv1Pt0?authuser=0&hl=en&rclk=1
"Narayana Hospital, Ahmedabad","https://www.google.com/maps/place/Narayana+Hospital,+Ahmedabad/data=!4m7!3m6!1s0x395e86876b675049:0x333a7f0f520404a7!8m2!3d23.0226551!4d72.6236515!16s%2Fg%2F11c1v8z5vt!19sChIJSVBna4eGXjkRpwQEUg9_OjM?authuser=0&hl=en&rclk=1"
BAPS Yogiji Maharaj Hospital,https://www.google.com/maps/place/BAPS+Yogiji+Maharaj+Hospital/data=!4m7!3m6!1s0x395e846b752bf3d9:0x62f0c185953205d2!8m2!3d23.0460119!4d72.5885025!16s%2Fg%2F1vgw_445!19sChIJ2fMrdWuEXjkR0gUylYXB8GI?authuser=0&hl=en&rclk=1
