Name,URL
"Park Hospital, Palam Vihar","https://www.google.com/maps/place/Park+Hospital,+Palam+Vihar/data=!4m7!3m6!1s0x390d1a2133c96ead:0xcd02c759bafd53da!8m2!3d28.5184015!4d77.0389622!16s%2Fg%2F1v62g0xq!19sChIJrW7JMyEaDTkR2lP9ulnHAs0?authuser=0&hl=en&rclk=1"
"Manipal Hospital, Palam Vihar, Gurugram","https://www.google.com/maps/place/Manipal+Hospital,+Palam+Vihar,+Gurugram/data=!4m7!3m6!1s0x390d19e69aaaaaab:0xd40e679700a4c5ab!8m2!3d28.5092813!4d77.041406!16s%2Fg%2F1td1n7_6!19sChIJq6qqmuYZDTkRq8WkAJdnDtQ?authuser=0&hl=en&rclk=1"
THE SIGNATURE ADVANCED SUPER SPECIALITY HOSPITAL,https://www.google.com/maps/place/THE+SIGNATURE+ADVANCED+SUPER+SPECIALITY+HOSPITAL/data=!4m7!3m6!1s0x390d173de846aae7:0x6a40f46075d9f00b!8m2!3d28.4541997!4d76.9732182!16s%2Fg%2F11rcsp345t!19sChIJ56pG6D0XDTkRC_DZdWD0QGo?authuser=0&hl=en&rclk=1
Nivaran Multispeciality Hospital -Best Hospital In Gurugram,https://www.google.com/maps/place/Nivaran+Multispeciality+Hospital+-Best+Hospital+In+Gurugram/data=!4m7!3m6!1s0x390d19a8189dbb81:0xfc16b42175677329!8m2!3d28.4990271!4d77.0643044!16s%2Fg%2F11mw0c_hp7!19sChIJgbudGKgZDTkRKXNndSG0Fvw?authuser=0&hl=en&rclk=1
Miracles Apollo Cradle Hospital,https://www.google.com/maps/place/Miracles+Apollo+Cradle+Hospital/data=!4m7!3m6!1s0x390d19afb1298ca9:0x1f0bc2870f24ca39!8m2!3d28.4785763!4d77.0473476!16s%2Fg%2F1tkrk5h0!19sChIJqYwpsa8ZDTkROcokD4fCCx8?authuser=0&hl=en&rclk=1
Park Hospital,https://www.google.com/maps/place/Park+Hospital/data=!4m7!3m6!1s0x390d2282e68c208d:0x25c6e5dd7f3bf41c!8m2!3d28.4199848!4d77.0483228!16s%2Fg%2F12hkdwb2f!19sChIJjSCM5oIiDTkRHPQ7f93lxiU?authuser=0&hl=en&rclk=1
SCI Hospital Gurugram | SCI IVF Hospital,https://www.google.com/maps/place/SCI+Hospital+Gurugram+%7C+SCI+IVF+Hospital/data=!4m7!3m6!1s0x390d192ac869f19d:0x4c59167cf81fc3fd!8m2!3d28.4617266!4d77.0949261!16s%2Fg%2F11kp_8q34w!19sChIJnfFpyCoZDTkR_cMf-HwWWUw?authuser=0&hl=en&rclk=1
Paras Hospitals - Gurgaon,https://www.google.com/maps/place/Paras+Hospitals+-+Gurgaon/data=!4m7!3m6!1s0x390d19041dfb4c59:0xb185f5d948cb2f8f!8m2!3d28.4511221!4d77.0876594!16s%2Fg%2F11fmdxq1f4!19sChIJWUz7HQQZDTkRjy_LSNn1hbE?authuser=0&hl=en&rclk=1
Saraswati Hospital,https://www.google.com/maps/place/Saraswati+Hospital/data=!4m7!3m6!1s0x390d19b4b3699725:0xd2bcf658a94d1109!8m2!3d28.4686151!4d77.0381293!16s%2Fg%2F11c2md8r8v!19sChIJJZdps7QZDTkRCRFNqVj2vNI?authuser=0&hl=en&rclk=1
RAJ HOSPITAL best hospital in ranchi,https://www.google.com/maps/place/RAJ+HOSPITAL+best+hospital+in+ranchi/data=!4m7!3m6!1s0x390d19b858298f6f:0x5b4407b69f844773!8m2!3d28.5136976!4d77.0759374!16s%2Fg%2F11gv_370fs!19sChIJb48pWLgZDTkRc0eEn7YHRFs?authuser=0&hl=en&rclk=1
