Name,URL
"INOX Insignia Ardee Mall, Gurugram","https://www.google.com/maps/place/INOX+Insignia+Ardee+Mall,+Gurugram/data=!4m7!3m6!1s0x390d19bf2032ab89:0x40b16000dbef93ec!8m2!3d28.4449704!4d77.0813312!16s%2Fg%2F11h6dr73cf!19sChIJiasyIL8ZDTkR7JPv2wBgsUA?authuser=0&hl=en&rclk=1"
INOX DECOR CONCEPT,https://www.google.com/maps/place/INOX+DECOR+CONCEPT/data=!4m7!3m6!1s0x390d19e64c3cb159:0x691cfc79fb0ed295!8m2!3d28.4929169!4d77.0196713!16s%2Fg%2F11cn7l01gh!19sChIJWbE8TOYZDTkRldIO-3n8HGk?authuser=0&hl=en&rclk=1
Inox,https://www.google.com/maps/place/Inox/data=!4m7!3m6!1s0x390d2345241782b1:0x62c35169e4a508d3!8m2!3d28.3979826!4d77.0726756!16s%2Fg%2F11r2rnt84v!19sChIJsYIXJEUjDTkR0wil5GlRw2I?authuser=0&hl=en&rclk=1
Inox Cinema,https://www.google.com/maps/place/Inox+Cinema/data=!4m7!3m6!1s0x390d3d0b2c986863:0xf5571f398e6ad5b3!8m2!3d28.3933316!4d76.967604!16s%2Fg%2F11gd1s5dtp!19sChIJY2iYLAs9DTkRs9VqjjkfV_U?authuser=0&hl=en&rclk=1
"INOX Sapphire Mall, Gurugram","https://www.google.com/maps/place/INOX+Sapphire+Mall,+Gurugram/data=!4m7!3m6!1s0x390d3d05d52c5351:0x6f27b0b424687840!8m2!3d28.4046916!4d76.9359436!16s%2Fg%2F11l56kl8zq!19sChIJUVMs1QU9DTkRQHhoJLSwJ28?authuser=0&hl=en&rclk=1"
INOX MX4D,https://www.google.com/maps/place/INOX+MX4D/data=!4m7!3m6!1s0x390d2352ddb33b95:0x1ec0277ee8351807!8m2!3d28.3921705!4d77.0591447!16s%2Fg%2F11qh57471w!19sChIJlTuz3VIjDTkRBxg16H4nwB4?authuser=0&hl=en&rclk=1
INOX Janak Place West Mall,https://www.google.com/maps/place/INOX+Janak+Place+West+Mall/data=!4m7!3m6!1s0x390d04bf1b20fe59:0x9ac8de598884ff7a!8m2!3d28.6297025!4d77.0818554!16s%2Fg%2F11b6w36wdj!19sChIJWf4gG78EDTkRev-EiFneyJo?authuser=0&hl=en&rclk=1
INOX IRIS Broadway Gurugram,https://www.google.com/maps/place/INOX+IRIS+Broadway+Gurugram/data=!4m7!3m6!1s0x390d3d0075df741f:0x8d02d866d7e388a!8m2!3d28.40415!4d76.9477143!16s%2Fg%2F11y2dbbj0d!19sChIJH3TfdQA9DTkRijh-bYYt0Ag?authuser=0&hl=en&rclk=1
Inox fire protection,https://www.google.com/maps/place/Inox+fire+protection/data=!4m7!3m6!1s0x390d19002a314767:0x39c5cd58763a40e1!8m2!3d28.4647293!4d77.0236013!16s%2Fg%2F11x1plyrhf!19sChIJZ0cxKgAZDTkR4UA6dljNxTk?authuser=0&hl=en&rclk=1
PVR INOX Cinemagic Gurgaon,https://www.google.com/maps/place/PVR+INOX+Cinemagic+Gurgaon/data=!4m7!3m6!1s0x390d19b4f737737d:0xa6bc0bca05c1007d!8m2!3d28.5050707!4d77.0964744!16s%2Fg%2F11y3sskw6g!19sChIJfXM397QZDTkRfQDBBcoLvKY?authuser=0&hl=en&rclk=1
INOX Eros One,https://www.google.com/maps/place/INOX+Eros+One/data=!4m7!3m6!1s0x390ce3006a6a77cb:0xc8d4ea5e5538e8d6!8m2!3d28.5811074!4d77.2422604!16s%2Fg%2F1tdmyx1p!19sChIJy3dqagDjDDkR1ug4VV7q1Mg?authuser=0&hl=en&rclk=1
INOX Vishal Mall,https://www.google.com/maps/place/INOX+Vishal+Mall/data=!4m7!3m6!1s0x390d03001d420a29:0x4993728b851760fb!8m2!3d28.6501441!4d77.1208779!16s%2Fg%2F11vzdp1scs!19sChIJKQpCHQADDTkR-2AXhYtyk0k?authuser=0&hl=en&rclk=1
MovieTime Cinemas,https://www.google.com/maps/place/MovieTime+Cinemas/data=!4m7!3m6!1s0x390d1972ffa454ad:0xe21acc32f51a1690!8m2!3d28.4273677!4d77.0360109!16s%2Fg%2F11snyk1p5q!19sChIJrVSk_3IZDTkRkBYa9TLMGuI?authuser=0&hl=en&rclk=1
The Delight Spa,https://www.google.com/maps/place/The+Delight+Spa/data=!4m7!3m6!1s0x390d19d167886b85:0x7d27ad2108e59ee4!8m2!3d28.4728537!4d77.0175897!16s%2Fg%2F11tf_4lhpy!19sChIJhWuIZ9EZDTkR5J7lCCGtJ30?authuser=0&hl=en&rclk=1
Odeon INOX,https://www.google.com/maps/place/Odeon+INOX/data=!4m7!3m6!1s0x390d1b20b2786ecf:0x143a1372668536f6!8m2!3d28.6342017!4d77.221048!16s%2Fg%2F11j5s_tnv_!19sChIJz254siAbDTkR9jaFZnITOhQ?authuser=0&hl=en&rclk=1
INOX Nehru Place,https://www.google.com/maps/place/INOX+Nehru+Place/data=!4m7!3m6!1s0x390ce3cf6ef5be13:0x6457bf851a0e5070!8m2!3d28.550044!4d77.251155!16s%2Fg%2F1tc_cn39!19sChIJE771bs_jDDkRcFAOGoW_V2Q?authuser=0&hl=en&rclk=1
INOX Insignia At RCube Monad Mall,https://www.google.com/maps/place/INOX+Insignia+At+RCube+Monad+Mall/data=!4m7!3m6!1s0x390d0343c28a8c3d:0xf2d6f628c17e7013!8m2!3d28.6504683!4d77.1216715!16s%2Fg%2F11sdc9tyq6!19sChIJPYyKwkMDDTkRE3B-wSj21vI?authuser=0&hl=en&rclk=1
INOX,https://www.google.com/maps/place/INOX/data=!4m7!3m6!1s0x390ce127264f2bc1:0x29984233748d3ad8!8m2!3d28.5372421!4d77.2825732!16s%2Fg%2F11tg9sxd5b!19sChIJwStPJifhDDkR2DqNdDNCmCk?authuser=0&hl=en&rclk=1
INOX,https://www.google.com/maps/place/INOX/data=!4m7!3m6!1s0x390d05d0217a0a97:0xbaff42cb8d802612!8m2!3d28.6339577!4d77.0897914!16s%2Fg%2F1tgnkgb1!19sChIJlwp6IdAFDTkREiaAjctC_7o?authuser=0&hl=en&rclk=1
INOX Patel Nagar,https://www.google.com/maps/place/INOX+Patel+Nagar/data=!4m7!3m6!1s0x390d030127266621:0xf67fcb6ba94d63b!8m2!3d28.6504!4d77.1576999!16s%2Fg%2F11c45nh908!19sChIJIWYmJwEDDTkRO9aUurb8Zw8?authuser=0&hl=en&rclk=1
