Name,URL
Modern School,https://www.google.com/maps/place/Modern+School/data=!4m7!3m6!1s0x390cfd2df5854005:0x9e2fad1b984b932d!8m2!3d28.6291761!4d77.2291375!16zL20vMDd2czNx!19sChIJBUCF9S39DDkRLZNLmButL54?authuser=0&hl=en&rclk=1
Venkateshwar International School,https://www.google.com/maps/place/Venkateshwar+International+School/data=!4m7!3m6!1s0x390d1b1f81681f71:0x2188e0393cc7d5c7!8m2!3d28.5840126!4d77.057962!16s%2Fg%2F11b8075zhp!19sChIJcR9ogR8bDTkRx9XHPDngiCE?authuser=0&hl=en&rclk=1
"Prudence Schools - Top & Best CBSE School in Dwarka, Delhi","https://www.google.com/maps/place/Prudence+Schools+-+Top+%26+Best+CBSE+School+in+Dwarka,+Delhi/data=!4m7!3m6!1s0x390d1b6ccb8667bb:0x1d1bdd45a1bb7357!8m2!3d28.5589881!4d77.0574006!16s%2Fg%2F11gsbb_m6s!19sChIJu2eGy2wbDTkRV3O7oUXdGx0?authuser=0&hl=en&rclk=1"
"New Era Public School - Best Schools in Mayapuri, Delhi","https://www.google.com/maps/place/New+Era+Public+School+-+Best+Schools+in+Mayapuri,+Delhi/data=!4m7!3m6!1s0x390d034f66f0f591:0xf9bd6db6246dca26!8m2!3d28.6251048!4d77.1178664!16s%2Fm%2F09k6d3n!19sChIJkfXwZk8DDTkRJsptJLZtvfk?authuser=0&hl=en&rclk=1"
Delhi International School Sector 23 Dwarka,https://www.google.com/maps/place/Delhi+International+School+Sector+23+Dwarka/data=!4m7!3m6!1s0x390d1b003867fd3d:0x878433e93e687c0c!8m2!3d28.564051!4d77.057636!16s%2Fg%2F1ptyk0zhc!19sChIJPf1nOAAbDTkRDHxoPukzhIc?authuser=0&hl=en&rclk=1
Delhi Public School R.K.Puram,https://www.google.com/maps/place/Delhi+Public+School+R.K.Puram/data=!4m7!3m6!1s0x390d1d75c0000001:0x2c355cc0d7b243de!8m2!3d28.5720886!4d77.17637!16s%2Fm%2F04gv4bl!19sChIJAQAAwHUdDTkR3kOy18BcNSw?authuser=0&hl=en&rclk=1
Delhi Jain Public School,https://www.google.com/maps/place/Delhi+Jain+Public+School/data=!4m7!3m6!1s0x390d19de3aaaaaab:0x3cda2a3229939541!8m2!3d28.5877001!4d77.083746!16s%2Fg%2F12605_qdh!19sChIJq6qqOt4ZDTkRQZWTKTIq2jw?authuser=0&hl=en&rclk=1
Vasant Valley School,https://www.google.com/maps/place/Vasant+Valley+School/data=!4m7!3m6!1s0x390d1c2dca9fdfe5:0xd8b5e5dc38264933!8m2!3d28.5334421!4d77.1442744!16zL20vMDV2cGMw!19sChIJ5d-fyi0cDTkRM0kmONzltdg?authuser=0&hl=en&rclk=1
"Swiss Cottage School, Bijwasan, Delhi","https://www.google.com/maps/place/Swiss+Cottage+School,+Bijwasan,+Delhi/data=!4m7!3m6!1s0x390d198a5d6e9cc3:0x5222efdaeaa590b7!8m2!3d28.5157786!4d77.0502157!16s%2Fg%2F1thspsdp!19sChIJw5xuXYoZDTkRt5Cl6trvIlI?authuser=0&hl=en&rclk=1"
Delhi Public School Vasant Kunj,https://www.google.com/maps/place/Delhi+Public+School+Vasant+Kunj/data=!4m7!3m6!1s0x390d1c32ad4ee5ef:0x6c14b01687ecdf89!8m2!3d28.5376174!4d77.148103!16s%2Fm%2F02qhqmh!19sChIJ7-VOrTIcDTkRid_shxawFGw?authuser=0&hl=en&rclk=1
Don Bosco School,https://www.google.com/maps/place/Don+Bosco+School/data=!4m7!3m6!1s0x390ce17cc0000001:0xd7d358c8c940aa50!8m2!3d28.5282576!4d77.2463872!16s%2Fm%2F027z5dx!19sChIJAQAAwHzhDDkRUKpAychY09c?authuser=0&hl=en&rclk=1
Vishal Bharti Public School,https://www.google.com/maps/place/Vishal+Bharti+Public+School/data=!4m7!3m6!1s0x390d0478ffffffff:0xe454631a8059f334!8m2!3d28.6774475!4d77.1003484!16s%2Fg%2F1tfzvwlq!19sChIJ_____3gEDTkRNPNZgBpjVOQ?authuser=0&hl=en&rclk=1
Holy Trinity School I.p.extension East Delhi,https://www.google.com/maps/place/Holy+Trinity+School+I.p.extension+East+Delhi/data=!4m7!3m6!1s0x390cfb4d05db814b:0xd985bef33e55a3b8!8m2!3d28.6353599!4d77.3057072!16s%2Fg%2F11f57nmqcd!19sChIJS4HbBU37DDkRuKNVPvO-hdk?authuser=0&hl=en&rclk=1
New Delhi Public School,https://www.google.com/maps/place/New+Delhi+Public+School/data=!4m7!3m6!1s0x390d04c2cc9a5d53:0x4254656e88dd4f1!8m2!3d28.629273!4d77.067078!16s%2Fg%2F11cfd_rqz!19sChIJU12azMIEDTkR8dSN6FZGJQQ?authuser=0&hl=en&rclk=1
Delhi International School Edge,https://www.google.com/maps/place/Delhi+International+School+Edge/data=!4m7!3m6!1s0x390d1ab89879bc0b:0x8c2795478188940!8m2!3d28.589528!4d77.0324237!16s%2Fg%2F1hhv_35ff!19sChIJC7x5mLgaDTkRQIkYeFR5wgg?authuser=0&hl=en&rclk=1
Modern International School,https://www.google.com/maps/place/Modern+International+School/data=!4m7!3m6!1s0x390d1ae2297620f1:0xfb20143b1d4b107a!8m2!3d28.578845!4d77.054108!16s%2Fg%2F1tg77fkb!19sChIJ8SB2KeIaDTkRehBLHTsUIPs?authuser=0&hl=en&rclk=1
C.M Convent School Delhi,https://www.google.com/maps/place/C.M+Convent+School+Delhi/data=!4m7!3m6!1s0x390d1be6dd60e199:0xdec17f92edb2bc20!8m2!3d28.521274!4d77.0862869!16s%2Fg%2F12lk54nm2!19sChIJmeFg3eYbDTkRILyy7ZJ_wd4?authuser=0&hl=en&rclk=1
Indian Convent School,https://www.google.com/maps/place/Indian+Convent+School/data=!4m7!3m6!1s0x390d06c74b5f7c03:0x835c675b513b993d!8m2!3d28.726437!4d77.085315!16s%2Fg%2F124yf12z5!19sChIJA3xfS8cGDTkRPZk7UVtnXIM?authuser=0&hl=en&rclk=1
THE INDIAN SCHOOL,https://www.google.com/maps/place/THE+INDIAN+SCHOOL/data=!4m7!3m6!1s0x390ce247e49cbcf3:0x9cf3d6b46c62fdca!8m2!3d28.5565792!4d77.2284469!16s%2Fg%2F1txc5dx4!19sChIJ87yc5EfiDDkRyv1ibLTW85w?authuser=0&hl=en&rclk=1
Hamdard Public School,https://www.google.com/maps/place/Hamdard+Public+School/data=!4m7!3m6!1s0x390ce11195555555:0x2ad021cc33defb58!8m2!3d28.5060265!4d77.2510252!16s%2Fg%2F11c3mpc9hh!19sChIJVVVVlRHhDDkRWPveM8wh0Co?authuser=0&hl=en&rclk=1
St. Xavier's Senior Secondary School,https://www.google.com/maps/place/St.+Xavier%27s+Senior+Secondary+School/data=!4m7!3m6!1s0x390cfda500000001:0xa5c2261dd083e8da!8m2!3d28.6728144!4d77.2229354!16s%2Fm%2F027fcf3!19sChIJAQAAAKX9DDkR2uiD0B0mwqU?authuser=0&hl=en&rclk=1
Springdales School,https://www.google.com/maps/place/Springdales+School/data=!4m7!3m6!1s0x390cfd6077bbc7c9:0x360d343dd9a24a11!8m2!3d28.6443145!4d77.1965527!16s%2Fg%2F1tj71zv3!19sChIJyce7d2D9DDkREUqi2T00DTY?authuser=0&hl=en&rclk=1
Bharat Bharti Public School | Mayur Vihar Phase-3,https://www.google.com/maps/place/Bharat+Bharti+Public+School+%7C+Mayur+Vihar+Phase-3/data=!4m7!3m6!1s0x390ce51dcf181243:0xa90409fda1d14d0d!8m2!3d28.6048704!4d77.3346888!16s%2Fg%2F11c328c398!19sChIJQxIYzx3lDDkRDU3Rof0JBKk?authuser=0&hl=en&rclk=1
Don Bosco School,https://www.google.com/maps/place/Don+Bosco+School/data=!4m7!3m6!1s0x390ce17cc0000001:0xd7d358c8c940aa50!8m2!3d28.5282576!4d77.2463872!16s%2Fm%2F027z5dx!19sChIJAQAAwHzhDDkRUKpAychY09c?authuser=0&hl=en&rclk=1
Apeejay School - Panchsheel Park,https://www.google.com/maps/place/Apeejay+School+-+Panchsheel+Park/data=!4m7!3m6!1s0x390ce2218da19f61:0xf1ac486b656f5480!8m2!3d28.5363588!4d77.2189645!16zL20vMDg2NGNt!19sChIJYZ-hjSHiDDkRgFRvZWtIrPE?authuser=0&hl=en&rclk=1
Holy Trinity School I.p.extension East Delhi,https://www.google.com/maps/place/Holy+Trinity+School+I.p.extension+East+Delhi/data=!4m7!3m6!1s0x390cfb4d05db814b:0xd985bef33e55a3b8!8m2!3d28.6353599!4d77.3057072!16s%2Fg%2F11f57nmqcd!19sChIJS4HbBU37DDkRuKNVPvO-hdk?authuser=0&hl=en&rclk=1
Mater Dei School,https://www.google.com/maps/place/Mater+Dei+School/data=!4m7!3m6!1s0x390ce2d71cd8acf1:0x6e01079a707bd1dd!8m2!3d28.6163719!4d77.2370018!16s%2Fg%2F11gbfb1hr5!19sChIJ8azYHNfiDDkR3dF7cJoHAW4?authuser=0&hl=en&rclk=1
stmartin school delhi cantt,https://www.google.com/maps/place/stmartin+school+delhi+cantt/data=!4m7!3m6!1s0x390d055ef3ca8deb:0x962ff6d4e1a20171!8m2!3d28.6216188!4d77.0772977!16s%2Fg%2F11rmx24cj6!19sChIJ643K814FDTkRcQGi4dT2L5Y?authuser=0&hl=en&rclk=1
South Delhi Public School,https://www.google.com/maps/place/South+Delhi+Public+School/data=!4m7!3m6!1s0x390ce2547a078311:0x46cd6f3080a017d!8m2!3d28.578333!4d77.2369042!16s%2Fg%2F11bwf1918m!19sChIJEYMHelTiDDkRfQEKCPPWbAQ?authuser=0&hl=en&rclk=1
Manav Sthali School,https://www.google.com/maps/place/Manav+Sthali+School/data=!4m7!3m6!1s0x390d046e6bbdc0bd:0xdfded0cc0ecc6850!8m2!3d28.6330133!4d77.1835878!16s%2Fm%2F02vmlff!19sChIJvcC9a24EDTkRUGjMDszQ3t8?authuser=0&hl=en&rclk=1
Modern International School,https://www.google.com/maps/place/Modern+International+School/data=!4m7!3m6!1s0x390d1ae2297620f1:0xfb20143b1d4b107a!8m2!3d28.578845!4d77.054108!16s%2Fg%2F1tg77fkb!19sChIJ8SB2KeIaDTkRehBLHTsUIPs?authuser=0&hl=en&rclk=1
